	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Readiness	Readiness	Precaution	Precaution	Participation	Participation
						
overconfidence_logit	0.150***	-0.116*	0.213***	-0.0864	0.0929***	-0.0796
	(0.0165)	(0.0656)	(0.0198)	(0.0580)	(0.0118)	(0.0722)
						
Observations	5,886	12,539	5,886	12,539	5,886	12,539
Sample	Low Lit.	High Lit.	Low Lit.	High Lit.	Low Lit.	High Lit.
Demo. chars.	Yes	Yes	Yes	Yes	Yes	Yes
Year dummies	Yes	Yes	Yes	Yes	Yes	Yes
State dummies	Yes	Yes	Yes	Yes	Yes	Yes
Pseudo R-squared	0.121	0.166	0.101	0.130	0.178	0.106
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
